Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
115,Wednesday Aug 6,boxscore,CIN,,MIL,L,3,6,,52-63,6,17.0,Suppan,Bailey,Torres,2:56,D,26602,.03,--,
116,Thursday Aug 7,boxscore,CIN,,HOU,L,4,7,,52-64,6,17.5,Oswalt,Fogg,,3:08,N,27378,.01,---,
117,Friday Aug 8,boxscore,CIN,,HOU,L,5,9,10,52-65,6,18.5,Sampson,Cordero,,3:13,N,25652,.01,----,
118,Saturday Aug 9,boxscore,CIN,,HOU,L,1,3,,52-66,6,18.5,Moehler,Arroyo,Valverde,2:40,N,26044,.00,-----,
119,Sunday Aug 10,boxscore,CIN,,HOU,L,4,13,,52-67,6,19.5,Rodriguez,Harang,,2:51,D,30789,.00,------,
120,Tuesday Aug 12,boxscore,CIN,@,PIT,W,5,1,,53-67,6,19.0,Volquez,Karstens,,2:49,N,23686,.00,+,
121,Wednesday Aug 13,boxscore,CIN,@,PIT,L,2,5,,53-68,6,20.5,Maholm,Fogg,Grabow,2:14,N,15787,.00,-,
122,Thursday Aug 14,boxscore,CIN,@,PIT,W,3,1,,54-68,6,20.5,Cueto,Snell,Cordero,2:54,N,35439,.00,+,
123,Friday Aug 15,boxscore,CIN,,STL,L,3,5,,54-69,6,21.5,Thompson,Arroyo,Perez,2:45,N,26234,.00,-,
124,Saturday Aug 16,boxscore,CIN,,STL,L,3,9,,54-70,6,21.5,Pineiro,Harang,,2:53,N,30713,.00,--,
125,Sunday Aug 17,boxscore,CIN,,STL,W,7,3,,55-70,6,21.5,Volquez,Lohse,,2:59,D,37468,.00,+,
126,Tuesday Aug 19,boxscore,CIN,@,CHC,L,0,5,,55-71,6,22.5,Harden,Cueto,,2:25,N,41208,.00,-,
127,Wednesday Aug 20,boxscore,CIN,@,CHC,W,2,1,,56-71,6,21.5,Arroyo,Lilly,Cordero,2:28,N,40509,.00,+,
