Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
135,Saturday Aug 30,boxscore,PIT,,MIL,L,3,11,,57-78,6,27.5,Suppan,Maholm,,3:04,N,21931,.00,---------,
136,Sunday Aug 31,boxscore,PIT,,MIL,L &V,0,7,,57-79,6,27.5,Sabathia,Karstens,,2:56,D,21293,.00,----------,
137,Tuesday Sep 2,boxscore,PIT,@,CIN,W,3,2,,58-79,6,26.0,Snell,Harang,Capps,2:50,N,18024,.00,+,
138,Wednesday Sep 3,boxscore,PIT,@,CIN,W,6,5,,59-79,6,25.0,Yates,Affeldt,Capps,3:16,N,18561,.00,++,
139,Thursday Sep 4,boxscore,PIT,@,CIN,L,6,8,,59-80,6,25.5,Masset,Hansen,Cordero,3:14,D,20626,.00,-,
140,Friday Sep 5,boxscore,PIT,@,SFG,W,7,0,,60-80,6,24.5,Duke,Correia,,2:39,N,31133,.00,+,
141,Saturday Sep 6,boxscore,PIT,@,SFG,L,6,7,,60-81,6,25.5,Espineli,Bautista,Wilson,2:57,N,38094,.00,-,
142,Sunday Sep 7,boxscore,PIT,@,SFG,L,6,11,,60-82,6,25.5,Matos,Karstens,,3:20,D,34122,.00,--,
143,Monday Sep 8,boxscore,PIT,@,HOU,L,2,3,,60-83,6,26.0,Arias,Snell,Valverde,2:48,N,26526,.00,---,
144,Tuesday Sep 9,boxscore,PIT,@,HOU,L,3,9,,60-84,6,26.0,Wolf,Ohlendorf,,2:39,N,30034,.00,----,
145,Wednesday Sep 10,boxscore,PIT,@,HOU,L,4,7,,60-85,6,27.0,Moehler,Bautista,Valverde,2:50,N,26859,.00,-----,
146,Thursday Sep 11,boxscore,PIT,@,HOU,L,0,6,,60-86,6,28.0,Oswalt,Duke,,2:09,N,31101,.00,------,
147,Friday Sep 12,boxscore,PIT,,STL,W,10,2,,61-86,6,27.5,Maholm,Pineiro,,2:23,N,14903,.00,+,
148,Saturday Sep 13,boxscore,PIT,,STL,W-wo,7,6,12,62-86,6,27.0,Hansen,Perez,,3:54,N,17132,.00,++,
149,Sunday Sep 14,boxscore,PIT,,STL,W,7,2,,63-86,6,27.0,Beam,Thompson,,2:46,D,18994,.00,+++,
150,Monday Sep 15,boxscore,PIT,,LAD,L,2,8,,63-87,6,28.0,Kuroda,Ohlendorf,,2:53,N,13147,.00,-,
151,Tuesday Sep 16,boxscore,PIT,,LAD,L,2,6,,63-88,6,29.0,Lowe,Karstens,,2:30,N,12741,.00,--,
152,Wednesday Sep 17,boxscore,PIT,,LAD,W,15,8,,64-88,6,28.0,Grabow,Elbert,,3:22,N,11883,.00,+,
153,Thursday Sep 18,boxscore,PIT,,LAD,L,3,4,12,64-89,6,29.0,Proctor,Hansen,Broxton,3:54,D,12709,.00,-,
154,Friday Sep 19,boxscore,PIT,,HOU,L,1,5,,64-90,6,29.0,Wolf,Snell,,2:59,N,26301,.00,--,
155,Saturday Sep 20,boxscore,PIT,,HOU,W,6,4,,65-90,6,29.0,Davis,Moehler,Capps,2:49,N,36621,.00,+,
156,Sunday Sep 21,boxscore,PIT,,HOU,L,2,6,,65-91,6,30.0,Oswalt,Ohlendorf,,3:07,D,20311,.00,-,
157,Tuesday Sep 23,boxscore,PIT,@,MIL,L-wo,5,7,,65-92,6,30.5,Torres,Beam,,3:11,N,36612,.00,--,
158,Wednesday Sep 24,boxscore,PIT,@,MIL,L,2,4,,65-93,6,31.5,Sabathia,Maholm,Torres,2:43,N,31164,.00,---,
159,Thursday Sep 25,boxscore,PIT,@,MIL,L-wo,1,5,10,65-94,6,31.5,Stetter,Chavez,,3:06,N,40102,.00,----,
160,Friday Sep 26,boxscore,PIT,@,SDP,W,6,3,,66-94,6,30.5,Snell,Ekstrom,Capps,2:36,N,27227,.00,+,
161,Saturday Sep 27,boxscore,PIT,@,SDP,L,2,3,,66-95,6,31.5,Young,Barthmaier,Hoffman,2:30,N,29825,.00,-,
162,Sunday Sep 28,boxscore,PIT,@,SDP,W,6,1,,67-95,6,30.5,Yates,LeBlanc,,3:02,D,29191,.00,+,
