Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
113,Wednesday Aug 6,boxscore,PHI,,FLA,W,5,0,,62-51,1,up 2.5,Kendrick,Sanchez,,2:34,N,45078,2.54,+,
114,Thursday Aug 7,boxscore,PHI,,FLA,L,0,3,,62-52,1,up 1.5,Volstad,Hamels,Gregg,2:55,D,45521,2.56,-,
115,Friday Aug 8,boxscore,PHI,,PIT,L,0,2,12,62-53,1,up 1.0,Beam,Walrond,Hansen,3:44,N,43891,1.92,--,
116,Saturday Aug 9,boxscore,PHI,,PIT,W,4,2,,63-53,1,up 1.0,Myers,Snell,Durbin,2:32,N,45060,1.95,+,
117,Sunday Aug 10,boxscore,PHI,,PIT,W,6,3,,64-53,1,up 2.0,Eyre,Yates,Madson,2:51,D,45262,1.92,++,
118,Monday Aug 11,boxscore,PHI,@,LAD,L,6,8,,64-54,1,up 2.0,Lowe,Kendrick,Broxton,3:16,N,45547,1.96,-,
119,Tuesday Aug 12,boxscore,PHI,@,LAD,L-wo,3,4,,64-55,1,up 1.0,Kuo,Romero,,2:44,N,47586,1.90,--,
120,Wednesday Aug 13,boxscore,PHI,@,LAD,L-wo,6,7,,64-56,1,Tied,Broxton,Condrey,,3:08,N,45786,1.94,---,
121,Thursday Aug 14,boxscore,PHI,@,LAD,L,1,3,,64-57,2,1.0,Kuroda,Myers,Kuo,2:21,N,51060,1.90,----,
122,Friday Aug 15,boxscore,PHI,@,SDP,W,1,0,,65-57,2,1.0,Moyer,Maddux,Lidge,2:35,N,37558,1.84,+,
123,Saturday Aug 16,boxscore,PHI,@,SDP,L,3,8,,65-58,2,2.0,Reineke,Kendrick,,2:51,N,33956,1.84,-,
124,Sunday Aug 17,boxscore,PHI,@,SDP,W,2,1,,66-58,2,2.0,Hamels,Baek,Lidge,2:46,N,34756,1.76,+,
125,Tuesday Aug 19,boxscore,PHI,,WSN,W,5,4,,67-58,2,1.5,Madson,Shell,Lidge,2:31,N,44143,1.83,++,
126,Wednesday Aug 20,boxscore,PHI,,WSN,W,4,0,,68-58,2,1.5,Myers,Balester,,2:14,N,45166,1.94,+++,
127,Thursday Aug 21,boxscore,PHI,,WSN,L,3,4,,68-59,2,2.5,Rivera,Madson,Hanrahan,2:57,N,41568,1.95,-,
128,Friday Aug 22,boxscore,PHI,,LAD,W,8,1,,69-59,2,2.5,Kendrick,Maddux,,2:28,N,42620,1.80,+,
129,Saturday Aug 23,boxscore,PHI,,LAD,W,9,2,,70-59,2,1.5,Hamels,Kershaw,,2:41,D,45019,1.80,++,
130,Sunday Aug 24,boxscore,PHI,,LAD,W-wo,5,2,11,71-59,2,0.5,Durbin,Beimel,,4:11,N,43039,2.00,+++,
131,Monday Aug 25,boxscore,PHI,,LAD,W,5,0,,72-59,2,0.5,Myers,Billingsley,,3:00,N,40873,2.12,++++,
132,Tuesday Aug 26,boxscore,PHI,,NYM,W-wo,8,7,13,73-59,1,up 0.5,Seanez,Schoeneweis,,5:17,N,45204,3.72,+++++,
133,Wednesday Aug 27,boxscore,PHI,,NYM,L,3,6,,73-60,2,0.5,Stokes,Seanez,Ayala,3:17,N,45138,3.92,-,
134,Thursday Aug 28,boxscore,PHI,@,CHC,L,4,6,,73-61,2,1.0,Howry,Durbin,Wood,2:53,N,40362,2.25,--,
135,Friday Aug 29,boxscore,PHI,@,CHC,L,2,3,,73-62,2,2.0,Samardzija,Condrey,Marmol,3:02,D,40844,2.17,---,
136,Saturday Aug 30,boxscore,PHI,@,CHC,W,5,2,,74-62,2,1.0,Myers,Lilly,Lidge,3:10,D,41511,2.01,+,
137,Sunday Aug 31,boxscore,PHI,@,CHC,W,5,3,,75-62,2,1.0,Moyer,Marshall,Lidge,3:04,D,41544,2.22,++,
138,Monday Sep 1,boxscore,PHI,@,WSN,L,4,7,,75-63,2,2.0,Redding,Kendrick,,3:13,D,28393,2.22,-,
139,Tuesday Sep 2,boxscore,PHI,@,WSN,W,4,0,,76-63,2,2.0,Hamels,Lannan,,2:43,N,23150,2.09,+,
140,Wednesday Sep 3,boxscore,PHI,@,WSN,L,7,9,,76-64,2,3.0,Rivera,Durbin,,3:23,N,23122,2.20,-,
141,Friday Sep 5,boxscore,PHI,@,NYM,W,3,0,,77-64,2,2.0,Myers,Pelfrey,Lidge,2:35,N,48302,3.29,+,
142,Sunday Sep 7 (1),boxscore,PHI,@,NYM,W,6,2,,78-64,2,2.0,Moyer,Martinez,,2:49,D,55797,4.26,++,2008-09-06 (Rain expected)
143,Sunday Sep 7 (2),boxscore,PHI,@,NYM,L,3,6,,78-65,2,2.0,Santana,Hamels,,2:49,N,54980,4.85,-,
144,Monday Sep 8,boxscore,PHI,,FLA,W,8,6,,79-65,2,1.5,Blanton,Sanchez,Lidge,3:02,N,38921,2.57,+,
145,Tuesday Sep 9,boxscore,PHI,,FLA,L,8,10,,79-66,2,2.5,Gregg,Kendrick,Lindstrom,3:28,N,40554,2.79,-,
146,Wednesday Sep 10,boxscore,PHI,,FLA,L,3,7,,79-67,2,3.5,Nolasco,Myers,,2:45,D,38665,2.60,--,
147,Thursday Sep 11,boxscore,PHI,,MIL,W,6,3,,80-67,2,3.0,Moyer,Sheets,Lidge,2:48,N,39994,2.63,+,
148,Saturday Sep 13,boxscore,PHI,,MIL,W,7,3,,81-67,2,2.5,Hamels,Parra,,3:02,D,45105,3.32,++,
149,Sunday Sep 14 (1),boxscore,PHI,,MIL,W,7,3,,82-67,2,1.0,Eyre,Mota,,2:28,D,43950,4.29,+++,2008-09-12 (Rain)
150,Sunday Sep 14 (2),boxscore,PHI,,MIL,W,6,1,,83-67,2,1.0,Myers,Suppan,,2:25,N,39776,5.09,++++,
151,Tuesday Sep 16,boxscore,PHI,@,ATL,W,8,7,,84-67,1,up 0.5,Madson,Gonzalez,Lidge,3:41,N,30319,3.68,+++++,
152,Wednesday Sep 17,boxscore,PHI,@,ATL,W,6,1,,85-67,1,up 0.5,Happ,Jurrjens,,2:49,N,32821,2.96,++++++,
153,Thursday Sep 18,boxscore,PHI,@,ATL,W,4,3,,86-67,1,up 0.5,Hamels,Hampton,Lidge,2:42,N,39070,2.95,+++++++,
154,Friday Sep 19,boxscore,PHI,@,FLA,L,8,14,,86-68,2,0.5,Johnson,Myers,,3:03,N,20202,2.16,-,
155,Saturday Sep 20,boxscore,PHI,@,FLA,W,3,2,,87-68,1,up 0.5,Blanton,Sanchez,Lidge,3:27,N,28757,2.58,+,
156,Sunday Sep 21,boxscore,PHI,@,FLA,W,5,2,,88-68,1,up 1.5,Moyer,Volstad,Lidge,3:08,D,28173,1.05,++,
157,Monday Sep 22,boxscore,PHI,,ATL,W,6,2,,89-68,1,up 2.5,Eyre,Bennett,,2:37,N,36796,.75,+++,
158,Tuesday Sep 23,boxscore,PHI,,ATL,L,2,3,,89-69,1,up 1.5,Hampton,Hamels,Gonzalez,2:46,N,39322,.24,-,
159,Wednesday Sep 24,boxscore,PHI,,ATL,L,4,10,,89-70,1,up 1.5,Carlyle,Myers,,3:16,N,41430,.86,--,
160,Friday Sep 26,boxscore,PHI,,WSN,W,8,4,,90-70,1,up 2.0,Blanton,Balester,,2:48,N,44145,3.03,+,
161,Saturday Sep 27,boxscore,PHI,,WSN,W,4,3,,91-70,1,up 2.0,Moyer,Lannan,Lidge,2:44,D,45177,.64,++,
162,Sunday Sep 28,boxscore,PHI,,WSN,W,8,3,,92-70,1,up 3.0,Walrond,Perez,,2:39,D,44945,.00,+++,
